,index,annual_sharperatio,max_drawdown,carmarratio
742,KALA,-2.2506965974018542,0.865934065934066,-1.071309759385127
743,KALV,0.27106443292212745,0.6749073085165826,-0.4924152926494593
744,KBNT,-0.20440093493456993,0.772641509518839,-0.7059607171040975
745,KC,-1.165850631382493,0.7996114339493033,-0.9161128849583317
746,KDNY,0.08044000164038315,0.40673291930957767,-0.2714878809120847
747,KERN,-1.049659367393767,0.7759901039764678,-0.9444193110651281
748,KFFB,0.5246021769451233,0.11842106666591379,0.7990153573202836
749,KFRC,1.6432606850884464,0.10827021061030095,5.269577911177878
750,KIDS,0.8168715205702315,0.23801607415543147,1.370798803315369
751,KIRK,0.05826916304606987,0.5508167040347749,-0.39058564409555
752,KLAC,1.1015829514392217,0.1617896209377957,2.689972845408512
753,KMDA,-0.17555330966997823,0.2800000289390827,-0.4056238274126924
754,KNSA,-0.49572330514791046,0.5424508720117207,-0.8356932310792307
755,KNTE,-1.0982216175201482,0.5835000038146972,-1.0373811344907458
756,KOD,-0.6346322915434203,0.5181398188118729,-0.9573639025547322
757,KOPN,0.7002599079202761,0.6327077490941585,0.46343728544813545
758,KPLT,-0.6898365799166043,0.8335957898556282,-1.0577007754168994
759,KPTI,-0.9119482641008658,0.741579559424601,-0.9570869169246579
760,KRBP,-0.9106438143867883,0.8616071447578012,-1.0580978145555877
761,KRKR,-1.0474447020036848,0.7807692254788775,-0.9975716431127645
762,KRNT,1.179698358473908,0.27937472310742706,2.2672401199215453
763,KRNY,0.46058035012458276,0.1275783083901484,0.6483034703169863
764,KRON,-1.3062171816744832,0.634543158956148,-1.0169678953364647
765,KROS,-0.06703103330582409,0.5945802211389365,-0.5137668432481681
766,KRTX,0.45605874491467346,0.3019447873045339,0.3967777568186098
767,KRUS,2.096027869447464,0.20655866218440966,14.000514505533832
768,KRYS,0.3146994273253852,0.49846375266841725,-0.0392009043394893
769,KTCC,-0.7967264254541888,0.34918919125118775,-0.8121492341136725
770,KVHI,-1.0639939653820316,0.40763047991714396,-0.8262352528938814
771,KXIN,-0.7888264792828135,0.7378854477490451,-1.1347382515221294
772,KYMR,0.07909871394525499,0.5696186916968355,-0.42292932451668386
773,KZR,1.5012084985051903,0.22865853857986995,8.357658109196292
774,LAB,-0.6977170437280309,0.48630138328496375,-1.0162096810724315
775,LAKE,-0.7380079534005277,0.5293383086003471,-0.7331941721096028
776,LAMR,1.6346724771573988,0.06419569565600913,5.68533714797368
777,LAND,2.8904728444080954,0.12267512169819994,9.61599578046039
778,LASR,-0.5919892949080656,0.4000000094775086,-0.9446915923874901
779,LAUR,-0.284748619122779,0.4220705408700439,-0.5920270261782749
780,LAZR,-0.6367854884992724,0.5851418915655808,-0.961298654709619
781,LBC,1.006639462291018,0.07737107069535076,3.0198768281510127
782,LCUT,-0.02682789884961048,0.18343949996364484,-0.45833330849806597
783,LEDS,0.7961159209284545,0.7682317802002735,0.2552476750576239
784,LEGH,1.1683117012540836,0.17384612254607368,3.7350936675003314
785,LEGN,1.022217021903698,0.28012228496403413,2.229498463509673
786,LESL,-0.11198688292261709,0.3254732961061455,-0.5399880133293993
787,LFLY,-1.3516355295894078,0.0840258406115213,-1.6597405630757966
788,LGIH,0.9017057669824255,0.2426841986766478,1.4399330195930653
789,LHCG,-1.246819626202825,0.478061401931717,-0.9840000324747623
790,LI,-0.052269954808502946,0.5128640072786625,-0.36946278751456013
791,LIFE,0.9574225709734239,0.4226475444065062,1.9827029980961302
792,LINC,0.3279727224157217,0.23250001668930054,0.23159634400418436
793,LIND,0.07996949282688923,0.40380857856143815,-0.18394968446077084
794,LIZI,0.4490203361247459,0.8792270512323855,-0.7112846624383898
795,LKQ,2.0684878016441886,0.07457430733826331,6.107183752679206
796,LMAT,0.4114468624223747,0.2516439296020392,0.34348823289751723
797,LMFA,0.7542370590409679,0.6708133856451843,0.259956544914679
798,LMST,1.639168213162496,0.07485035308790589,4.480248424623681
799,LNDC,-0.013170017145185611,0.2715551915386878,-0.28982596878145683
800,LNTH,1.621290562521166,0.19937043485547168,4.504015020264037
