YearMonth,Index,floatShares
2020-05,TTEC,46730000.0
2020-06,TTEC,46730000.0
2020-07,TTEC,46740000.0
2020-08,TTEC,46740000.0
2020-09,TTEC,46740000.0
2020-10,TTEC,46740000.0
2020-11,TTEC,46740000.0
2020-12,TTEC,46740000.0
2021-01,TTEC,46820000.0
2021-02,TTEC,46820000.0
2021-03,TTEC,46820000.0
2021-04,TTEC,46990000.0
2021-05,TTEC,46990000.0
2021-06,TTEC,46990000.0
2021-07,TTEC,46990000.0
2021-08,TTEC,46990000.0
2021-09,TTEC,46990000.0
2021-10,TTEC,46990000.0
2021-11,TTEC,46990000.0
2021-12,TTEC,46990000.0
2022-01,TTEC,47040000.0
2022-02,TTEC,47040000.0
2022-03,TTEC,47040000.0
2022-04,TTEC,47210000.0
2022-05,TTEC,47210000.0
2022-06,TTEC,47210000.0
2022-07,TTEC,18680672.0
2020-01,RKLB,448800000.0
2020-02,RKLB,448800000.0
2020-03,RKLB,448800000.0
2020-04,RKLB,448800000.0
2020-05,RKLB,448800000.0
2020-06,RKLB,448800000.0
2020-07,RKLB,448800000.0
2020-08,RKLB,448800000.0
2020-09,RKLB,448800000.0
2020-10,RKLB,448800000.0
2020-11,RKLB,448800000.0
2020-12,RKLB,448800000.0
2021-01,RKLB,448800000.0
2021-02,RKLB,448800000.0
2021-03,RKLB,448800000.0
2021-04,RKLB,448800000.0
2021-05,RKLB,448800000.0
2021-06,RKLB,448800000.0
2021-07,RKLB,448800000.0
2021-08,RKLB,448800000.0
2021-09,RKLB,448800000.0
2021-10,RKLB,207111582.0
2021-11,RKLB,207111582.0
2021-12,RKLB,207111582.0
2022-01,RKLB,207111582.0
2022-02,RKLB,207111582.0
2022-03,RKLB,207111582.0
2022-04,RKLB,207111582.0
2022-05,RKLB,207111582.0
2022-06,RKLB,207111582.0
2022-07,RKLB,207111582.0
2020-01,SCWX,12140000.0
2020-02,SCWX,12140000.0
2020-03,SCWX,12140000.0
2020-04,SCWX,12190000.0
2020-05,SCWX,12190000.0
2020-06,SCWX,12190000.0
2020-07,SCWX,12240000.0
2020-08,SCWX,12240000.0
2020-09,SCWX,12240000.0
2020-10,SCWX,13030000.0
2020-11,SCWX,13030000.0
2020-12,SCWX,13030000.0
2021-01,SCWX,13560000.0
2021-02,SCWX,13560000.0
2021-03,SCWX,13560000.0
2021-04,SCWX,15350000.0
2021-05,SCWX,15350000.0
2021-06,SCWX,15350000.0
2021-07,SCWX,14200000.0
2021-08,SCWX,14200000.0
2021-09,SCWX,14200000.0
2021-10,SCWX,14470000.0
2021-11,SCWX,14470000.0
2021-12,SCWX,14470000.0
2022-01,SCWX,14860000.0
2022-02,SCWX,14860000.0
2022-03,SCWX,14860000.0
2022-04,SCWX,14970000.0
2022-05,SCWX,14970000.0
2022-06,SCWX,14970000.0
2022-07,SCWX,12083151.0
2020-01,HSKA,9390000.0
2020-02,HSKA,9390000.0
2020-03,HSKA,9390000.0
2020-04,HSKA,9440000.0
2020-05,HSKA,9440000.0
2020-06,HSKA,9440000.0
2020-07,HSKA,9450000.0
2020-08,HSKA,9450000.0
2020-09,HSKA,9450000.0
2020-10,HSKA,9480000.0
2020-11,HSKA,9480000.0
2020-12,HSKA,9480000.0
2021-01,HSKA,10420000.0
2021-02,HSKA,10420000.0
2021-03,HSKA,10420000.0
2021-04,HSKA,10650000.0
2021-05,HSKA,10650000.0
2021-06,HSKA,10650000.0
2021-07,HSKA,10710000.0
2021-08,HSKA,10710000.0
2021-09,HSKA,10710000.0
2021-10,HSKA,10810000.0
2021-11,HSKA,10810000.0
2021-12,HSKA,10810000.0
2022-01,HSKA,10790000.0
2022-02,HSKA,10790000.0
2022-03,HSKA,10790000.0
2022-04,HSKA,10820000.0
2022-05,HSKA,10820000.0
2022-06,HSKA,10820000.0
2022-07,HSKA,9292884.0
2020-01,VRRM,161690000.0
2020-02,VRRM,161690000.0
2020-03,VRRM,161690000.0
2020-04,VRRM,161740000.0
2020-05,VRRM,161740000.0
2020-06,VRRM,161740000.0
2020-07,VRRM,162270000.0
2020-08,VRRM,162270000.0
2020-09,VRRM,162270000.0
2020-10,VRRM,162270000.0
2020-11,VRRM,162270000.0
2020-12,VRRM,162270000.0
2021-01,VRRM,162360000.0
